date,askclose
2019-03-04 22:00:00,1.13408
2019-03-05 22:00:00,1.13088
2019-03-06 22:00:00,1.13074
2019-03-07 22:00:00,1.11945
2019-03-08 22:00:00,1.12376
2019-03-10 21:00:00,1.12369
2019-03-11 21:00:00,1.1246
2019-03-12 21:00:00,1.12894
2019-03-13 21:00:00,1.13293
2019-03-14 21:00:00,1.13048
2019-03-15 21:00:00,1.1326
2019-03-17 21:00:00,1.13254
2019-03-18 21:00:00,1.13388
2019-03-19 21:00:00,1.13527
2019-03-20 21:00:00,1.14139
2019-03-21 21:00:00,1.1375
2019-03-22 21:00:00,1.13023
2019-03-24 21:00:00,1.12949
2019-03-25 21:00:00,1.13131
2019-03-26 21:00:00,1.12665
2019-03-27 21:00:00,1.12446
2019-03-28 21:00:00,1.12232
2019-03-29 21:00:00,1.12188
2019-03-31 21:00:00,1.12343
2019-04-01 21:00:00,1.12138
2019-04-02 21:00:00,1.1205
2019-04-03 21:00:00,1.1233
2019-04-04 21:00:00,1.12216
2019-04-05 21:00:00,1.12164
2019-04-07 21:00:00,1.12242
2019-04-08 21:00:00,1.12647
2019-04-09 21:00:00,1.12637
2019-04-10 21:00:00,1.12744
2019-04-11 21:00:00,1.12539
2019-04-12 21:00:00,1.13
2019-04-14 21:00:00,1.13074
2019-04-15 21:00:00,1.13047
2019-04-16 21:00:00,1.12816
2019-04-17 21:00:00,1.12978
2019-04-18 21:00:00,1.12339
2019-04-19 21:00:00,1.12457
2019-04-21 21:00:00,1.12512
2019-04-22 21:00:00,1.12579
2019-04-23 21:00:00,1.12279
2019-04-24 21:00:00,1.11587
2019-04-25 21:00:00,1.11337
2019-04-26 21:00:00,1.1145
2019-04-28 21:00:00,1.11483
2019-04-29 21:00:00,1.11863
2019-04-30 21:00:00,1.12159
2019-05-01 21:00:00,1.11989
2019-05-02 21:00:00,1.11735
2019-05-03 21:00:00,1.12034
2019-05-05 21:00:00,1.11804
2019-05-06 21:00:00,1.12009
2019-05-07 21:00:00,1.11912
2019-05-08 21:00:00,1.11924
2019-05-09 21:00:00,1.12168
2019-05-10 21:00:00,1.1236
2019-05-12 21:00:00,1.12349
2019-05-13 21:00:00,1.12227
2019-05-14 21:00:00,1.12046
2019-05-15 21:00:00,1.12018
2019-05-16 21:00:00,1.11755
2019-05-17 21:00:00,1.11581
2019-05-19 21:00:00,1.11615
2019-05-20 21:00:00,1.11668
2019-05-21 21:00:00,1.11618
2019-05-22 21:00:00,1.11513
2019-05-23 21:00:00,1.11822
2019-05-24 21:00:00,1.12059
2019-05-26 21:00:00,1.12105
2019-05-27 21:00:00,1.11969
2019-05-28 21:00:00,1.1161
2019-05-29 21:00:00,1.11318
2019-05-30 21:00:00,1.11296
2019-05-31 21:00:00,1.11701
2019-06-02 21:00:00,1.11709
2019-06-03 21:00:00,1.12414
2019-06-04 21:00:00,1.12521
2019-06-05 21:00:00,1.12215
2019-06-06 21:00:00,1.1276
2019-06-07 21:00:00,1.1334
2019-06-09 21:00:00,1.13249
2019-06-10 21:00:00,1.13119
2019-06-11 21:00:00,1.13267
2019-06-12 21:00:00,1.12876
2019-06-13 21:00:00,1.12767
2019-06-14 21:00:00,1.12126
2019-06-16 21:00:00,1.12122
2019-06-17 21:00:00,1.12186
2019-06-18 21:00:00,1.11941
2019-06-19 21:00:00,1.1227
2019-06-20 21:00:00,1.12934
2019-06-21 21:00:00,1.13703
2019-06-23 21:00:00,1.13733
2019-06-24 21:00:00,1.13987
2019-06-25 21:00:00,1.13674
2019-06-26 21:00:00,1.13704
2019-06-27 21:00:00,1.13699
2019-06-28 21:00:00,1.13724
2019-06-30 21:00:00,1.13614
2019-07-01 21:00:00,1.12859
2019-07-02 21:00:00,1.12857
2019-07-03 21:00:00,1.12787
2019-07-04 21:00:00,1.12853
2019-07-05 21:00:00,1.12276
2019-07-07 21:00:00,1.12282
2019-07-08 21:00:00,1.12147
2019-07-09 21:00:00,1.12082
2019-07-10 21:00:00,1.12514
2019-07-11 21:00:00,1.12543
2019-07-12 21:00:00,1.12723
2019-07-14 21:00:00,1.12751
2019-07-15 21:00:00,1.12584
2019-07-16 21:00:00,1.12111
2019-07-17 21:00:00,1.12247
2019-07-18 21:00:00,1.12776
2019-07-19 21:00:00,1.12225
2019-07-21 21:00:00,1.12152
2019-07-22 21:00:00,1.12092
2019-07-23 21:00:00,1.11523
2019-07-24 21:00:00,1.11406
2019-07-25 21:00:00,1.11477
2019-07-26 21:00:00,1.11296
2019-07-28 21:00:00,1.11282
2019-07-29 21:00:00,1.11451
2019-07-30 21:00:00,1.11554
2019-07-31 21:00:00,1.10756
2019-08-01 21:00:00,1.10856
2019-08-02 21:00:00,1.11119
2019-08-04 21:00:00,1.111
2019-08-05 21:00:00,1.12033
2019-08-06 21:00:00,1.12009
2019-08-07 21:00:00,1.12004
2019-08-08 21:00:00,1.11808
2019-08-09 21:00:00,1.12011
2019-08-11 21:00:00,1.12016
2019-08-12 21:00:00,1.12144
2019-08-13 21:00:00,1.11716
2019-08-14 21:00:00,1.1139
2019-08-15 21:00:00,1.11074
2019-08-16 21:00:00,1.10928
2019-08-18 21:00:00,1.10956
2019-08-19 21:00:00,1.10789
2019-08-20 21:00:00,1.11012
2019-08-21 21:00:00,1.10848
2019-08-22 21:00:00,1.10802
2019-08-23 21:00:00,1.1143
2019-08-25 21:00:00,1.11524
2019-08-26 21:00:00,1.11039
2019-08-27 21:00:00,1.10909
2019-08-28 21:00:00,1.10784
2019-08-29 21:00:00,1.10571
2019-08-30 21:00:00,1.09928
2019-09-01 21:00:00,1.09932
2019-09-02 21:00:00,1.0973
2019-09-03 21:00:00,1.09749
2019-09-04 21:00:00,1.10364
2019-09-05 21:00:00,1.10353
2019-09-06 21:00:00,1.10285
2019-09-08 21:00:00,1.1029
2019-09-09 21:00:00,1.10485
2019-09-10 21:00:00,1.1044
2019-09-11 21:00:00,1.10109
2019-09-12 21:00:00,1.10664
2019-09-13 21:00:00,1.10776
2019-09-15 21:00:00,1.10753
2019-09-16 21:00:00,1.10045
2019-09-17 21:00:00,1.10734
2019-09-18 21:00:00,1.10302
2019-09-19 21:00:00,1.10415
2019-09-20 21:00:00,1.10227
2019-09-22 21:00:00,1.10202
2019-09-23 21:00:00,1.09937
2019-09-24 21:00:00,1.10206
2019-09-25 21:00:00,1.09437
2019-09-26 21:00:00,1.09235
2019-09-27 21:00:00,1.09426
2019-09-29 21:00:00,1.09442
2019-09-30 21:00:00,1.08999
2019-10-01 21:00:00,1.09331
2019-10-02 21:00:00,1.09594
2019-10-03 21:00:00,1.0966
2019-10-04 21:00:00,1.09812
2019-10-06 21:00:00,1.09838
2019-10-07 21:00:00,1.0971
